"parameter";"value"
"ag_biomass_max";159.5
"ag_biomass_min";5.1
"ag_v_max";8.1
"ag_k_m";12.6
"ag_sigmoid_slope";-2.5
"ag_reduction";1
"bg_biomass_max";746.9
"bg_biomass_min";122.1
"bg_v_max";9.8
"bg_k_m";178.1
"bg_sigmoid_slope";-2.5
"bg_reduction";1
"nutrients_diffusion";0.6
"detritus_ratio";0.01
"detritus_decomposition";0.001
"detritus_diffusion";0.3
"detritus_dead_diffusion";0.3
"detritus_dead_decomp";0.6
"pop_mean_size";9
"pop_var_size";10
"pop_max_reserves";0.05
"pop_want_reserves";0.01
"pop_visibility";1
"pop_mean_move";8
"pop_var_move";5
"pop_a_grunt";0.0121
"pop_b_grunt";3.161
"pop_k_grunt";0.2
"pop_linf_grunt";41.6
"pop_n_body";0.02999
"pop_max_size";45
"resp_intercept";0.0108
"resp_slope";-0.2
"resp_temp_low";2.1
"resp_temp_optm";36
"resp_temp_max";40
